client_id,first_name,last_name,gender,date_of_birth,phone_number,email,address,city,state,postal_code,date_of_registration,client_type
1,Barbara,Ellis,female,1985-09-08,117-907-9988,barbara.ellis@gmail.com,96576 Katherine Canyon Apt. 913,New York,New York,12201,2024-01-30,renter
2,Ryan,Richardson,male,1948-04-13,555-832-5374,ryan.richardson@outlook.com,179 Greene Roads Suite 477,Syracuse,New York,10801,2020-10-17,renter
3,Whitney,Daniels,female,1948-10-08,504-278-4621,whitney.daniels@gmail.com,34491 Tiffany Grove,New York,New York,12301,2024-03-24,buyer
4,Jessica,Day,female,2002-08-13,841-283-3398,jessica.day@hotmail.com,57612 Kaitlin Row Suite 780,Yonkers,New York,14602,2021-01-07,buyer
5,Wendy,Watkins,male,1956-04-14,931-556-6260,wendy.watkins@gmail.com,181 Aaron Plains Suite 902,Albany,New York,10001,2024-04-16,landlord
6,Patrick,Smith,male,1985-01-20,526-859-2080,patrick.smith@outlook.com,72741 Rodriguez Forks,Schenectady,New York,12201,2022-04-13,landlord
7,Crystal,Hendricks,male,1961-05-30,979-985-3925,crystal.hendricks@outlook.com,37467 Hall Place,Schenectady,New York,10701,2021-01-08,renter
8,Elizabeth,Hall,male,2001-07-27,190-386-9210,elizabeth.hall@outlook.com,3634 Goodwin Island Suite 457,New Rochelle,New York,13201,2020-02-04,landlord
9,John,Walker,male,1992-04-07,460-669-8856,john.walker@outlook.com,6416 Carlson Camp Suite 295,Albany,New York,10550,2022-10-05,seller
10,Harry,Shaffer,male,1990-02-14,330-762-6452,harry.shaffer@gmail.com,728 Lauren Plain,Rochester,New York,12301,2024-07-02,renter
11,Cheryl,Barton,male,2006-01-02,690-380-8847,cheryl.barton@hotmail.com,58855 Julia Terrace,New Rochelle,New York,10701,2021-12-06,seller
12,Tammy,King,female,1965-09-18,531-671-6952,tammy.king@hotmail.com,429 Pittman Circles Apt. 599,Syracuse,New York,13201,2022-01-23,buyer
13,Michael,Henderson,male,1998-05-22,473-629-1755,michael.henderson@yahoo.com,077 Griffin Dam,Mount Vernon,New York,12201,2020-07-22,renter
14,Timothy,Smith,female,1940-01-20,136-813-5415,timothy.smith@outlook.com,18008 Andrew Light,Utica,New York,14201,2024-07-16,seller
15,Jason,Doyle,female,1953-09-11,559-667-9520,jason.doyle@outlook.com,829 Delacruz Stravenue,Buffalo,New York,14602,2022-04-09,renter
